Comment,Description,Designator,Footprint,LibRef,Quantity,MPN,PCBA,Supplier,Value

"L000642-01","Antennas RFID/NFC FPC, ANT, 13.56MHZ, FERRITE, ROUND","A1","","L000642-01","1","L000642-01  ","Assembly","Mouser","L000642-01  "
"BAT-HLD-001","Coin Cell Battery Holders Linx CR2032 Battery Holder","BT1","BATHLD001","BAT-HLD-001","1","BAT-HLD-001  ","Assembly","Mouser","BAT-HLD-001  "
"Capacitor","Capacitor cerâmico de baixa ESR, X7R ou X5R","C1, C3, C5, C7, C10, C12, C14, C17, C25","","Capacitor","9","100n","Assembly","Mouser","100n"
"Capacitor","Capacitor cerâmico de baixa ESR, X7R ou X5R","C2, C4, C6, C8, C9, C13, C16, C24","","Capacitor","8","10n","Assembly","Mouser","10n"
"Capacitor","Capacitor cerâmico de baixa ESR, X7R ou X5R","C11, C15, C18","","Capacitor","3","1µ","Assembly","Mouser","1µ"
"Capacitor","Capacitor cerâmico de baixa ESR, X7R ou X5R","C19, C20, C21","","Capacitor","3","4.7µ","Assembly","Mouser","4.7µ"
"Capacitor","Capacitor cerâmico C0G (NP0)","C22, C23","","Capacitor","2","25p","Assembly","Mouser","25p"
"Light-Emitting Diode","Light-Emitting Diode 
Azul, Light-Emitting Diode Verde, Light-Emitting Diode 
Amarelo, Light-Emitting Diode 
Vermelho","D1, D2, D3, D4","","LED","4","","Assembly","Mouser",""
"HDC1080DMBR","Board Mount Humidity Sensors 2% RH low-power digital relative humidit A 595-HDC1080DMBT","IC1","SON100P300X300X80-7N-D","HDC1080DMBR","1","HDC1080DMBR","Assembly","Mouser","HDC1080DMBR"
"TMP112AIDRLR","Board Mount Temperature Sensors Hi-Prec Lo-Pwr Dig T emp Sensor A 595-TMP112AIDRLT","IC2, IC3, IC4, IC6","SOTFL50P160X60-6N","TMP112AIDRLR","4","TMP112AIDRLR","Assembly","Mouser","TMP112AIDRLR"
"TPS71733DCKR","LDO Voltage Regulators Sgl Output LDO 150mA Fixed(3.3V) Hi PSRR A 595-TPS71733DCKT","IC5","SOT65P210X110-5N","TPS71733DCKR","1","TPS71733DCKR","Assembly","Mouser","TPS71733DCKR"
"ESP32-C3-MINI-1-N4","Multiprotocol Modules SMD module, ESP32-C3FN4, PCB antenna, -40C - +85C","IC7","ESP32C3MINI1N4","ESP32-C3-MINI-1-N4","1","ESP32-C3-MINI-1-N4","Assembly","Mouser","ESP32-C3-MINI-1-N4"
"MCP73831T-2ACI_OT","Battery Management Charge mgnt contr","IC8","SOT95P270X145-5N","MCP73831T-2ACI_OT","1","MCP73831T-2ACI/OT","Assembly","Mouser","MCP73831T-2ACI/OT"
"ST25DV04K-IER6S3","NFC/RFID Tags & Transponders Dynamic NFC/RFID tag IC 4-Kbit EEPROM, and fast transfer mode capability","IC9","SOIC127P600X175-8N","ST25DV04K-IER6S3","1","ST25DV04K-IER6S3","Assembly","Mouser","ST25DV04K-IER6S3"
"USB4105-GF-A","USB Connectors USB Type C,2.0, Rec,SMT, 0.95mmTH Shell Stakes,G/F,RA,Top Mnt,T&R","J1","GCT_USB4105-GF-A","USB4105-GF-A","1","USB4105-GF-A","Assembly","Mouser","USB4105-GF-A"
"SQ2364EES-T1_GE3","MOSFETs 60V Vds; +/-8V Vgs SOT-23; 4A Id","Q1","SOT95P237X112-3N","SQ2364EES-T1_GE3","1","SQ2364EES-T1_GE3","Assembly","Mouser","SQ2364EES-T1_GE3"
"Resistor","Resistor","R1, R2, R3, R5, R6, R8","","Resistor","6","5K","Assembly","Mouser","5K"
"Resistor","Resistor","R4","","Resistor","1","0","Assembly","Mouser","0"
"Resistor","Resistor","R7, R15","","Resistor","2","10K","Assembly","Mouser","10K"
"Resistor","Resistor","R9","","Resistor","1","33","Assembly","Mouser","33"
"Resistor","Resistor","R10","","Resistor","1","110","Assembly","Mouser","110"
"Resistor","Resistor","R11","","Resistor","1","470","Assembly","Mouser","470"
"Resistor","Resistor","R12","","Resistor","1","330","Assembly","Mouser","330"
"Resistor","Resistor","R13","","Resistor","1","7.8K","Assembly","Mouser","7.8K"
"Resistor","Resistor","R14","","Resistor","1","25K","Assembly","Mouser","25K"
"Resistor","Resistor","R16","","Resistor","1","130","Assembly","Mouser","130"
"Resistor","Resistor","R17, R18","","Resistor","2","5.1K","Assembly","Mouser","5.1K"
"Resistor","Resistor","R19","","Resistor","1","0","DNA","Mouser","0"
"SLW-913535-2A-RA-D","Slide Switches 9.1 x 3.5 x 3.5 mm, 2 mm Raised Slide Actuator, Right-Angle, Through Hole","S1","SLW9135352ARAD","SLW-913535-2A-RA-D","1","SLW-913535-2A-RA-D","Assembly","Mouser","SLW-913535-2A-RA-D"
